file,nomSociete,evaluation,capitalDetenu,nombreParts,remuneration
0465638c-88cd-42c3-9b14-558d0ab34b51-20171221.xml,SCI          [Données non publiées],990,100,99,0
0465638c-88cd-42c3-9b14-558d0ab34b51-20171221.xml,ET ACT France C 4D,47857,,2368,0
0465638c-88cd-42c3-9b14-558d0ab34b51-20171221.xml,ETOIL EUR AC 03 29,5022,,49,0
046944a2-f1c6-4d14-bb77-1ee36f10371e-20171221.xml,vivescia,11500,,460,valeur au 4/10/2021 7889 euros
046944a2-f1c6-4d14-bb77-1ee36f10371e-20171221.xml,crédit agricole,5269,,3513,"75 euros (1,5 %)"
046944a2-f1c6-4d14-bb77-1ee36f10371e-20171221.xml,Scea         [Données non publiées],85000,46,560,0
046944a2-f1c6-4d14-bb77-1ee36f10371e-20171221.xml,Sci          [Données non publiées],450,90,50,0
046944a2-f1c6-4d14-bb77-1ee36f10371e-20171221.xml,GFA          [Données non publiées],252900,36,2529,0
04ab852e-4de1-478f-891b-c6c7e3fb3755-20171221.xml,SAS ECOCOM FORMATION,0,0,100,0
04ab852e-4de1-478f-891b-c6c7e3fb3755-20171221.xml,SAS COULEUR STRATEGIE,1000,100,100,5000 EN 2019
04ab852e-4de1-478f-891b-c6c7e3fb3755-20171221.xml,SARL 16 STRATEGIES,0,0,100,0
04aec2a3-8a7a-4d82-b5ad-3b459fcb66e7-20171221.xml,Ile de Sein energies,1000,,4,0
04ba9fe3-e971-44b6-b7d8-0a107f230733-20171221.xml,EURL DANTES YACHTS,30000,100,1,voir revenus partie Activités professionnelles
04ba9fe3-e971-44b6-b7d8-0a107f230733-20171221.xml,SCI          [Données non publiées],400000,98,1500,voir revenus partie Activités Professionnelles
04ba9fe3-e971-44b6-b7d8-0a107f230733-20171221.xml,SCI          [Données non publiées],80000,99,1500,0
04dd08d0-c3f9-46a6-a201-7c82b379fd90-20171221.xml,Altria Group,1900,,30,quelques euros
04dd08d0-c3f9-46a6-a201-7c82b379fd90-20171221.xml,Kraft Heinz,440,,6,quelques euros
04dd08d0-c3f9-46a6-a201-7c82b379fd90-20171221.xml,L'Oréal,1800,,10,quelques euros
04dd08d0-c3f9-46a6-a201-7c82b379fd90-20171221.xml,Modelez int,750,,20,quelques euros
04dd08d0-c3f9-46a6-a201-7c82b379fd90-20171221.xml,Nestlé,22000,,300,quelques centaines d'euros
04dd08d0-c3f9-46a6-a201-7c82b379fd90-20171221.xml,Philip Morris,3000,,30,quelques euros
04dd08d0-c3f9-46a6-a201-7c82b379fd90-20171221.xml,LBPAM          [Données non publiées],1570,,15,quelques euros
04dd08d0-c3f9-46a6-a201-7c82b379fd90-20171221.xml,LBPAM         [Données non publiées],7500,,29,quelques euros
04dd08d0-c3f9-46a6-a201-7c82b379fd90-20171221.xml,SCI          [Données non publiées],92160,,32,12000
04dd08d0-c3f9-46a6-a201-7c82b379fd90-20171221.xml,SCI          [Données non publiées],33600,0,8,0
04e1dcc0-aa64-4396-adf4-8c2d8a15f521-20171221.xml,OMNImeubles SARL,6667,70,6667,0
04e1dcc0-aa64-4396-adf4-8c2d8a15f521-20171221.xml,FNAC DARTY,3033,,55,55
04e1dcc0-aa64-4396-adf4-8c2d8a15f521-20171221.xml,NEXITY,3514,,80,0
04e1dcc0-aa64-4396-adf4-8c2d8a15f521-20171221.xml,RENAULT,2474,,85,0
04e1dcc0-aa64-4396-adf4-8c2d8a15f521-20171221.xml,SG ACT EURO SEL 3D,5655,0,89,0
04fb8fa7-fca9-4fc2-8c53-5f56e22a1740-20171221.xml,VIVENDI,3818,0,157,- 601
04fb8fa7-fca9-4fc2-8c53-5f56e22a1740-20171221.xml,orange,2645,0,280,- 2518
04fb8fa7-fca9-4fc2-8c53-5f56e22a1740-20171221.xml,DISTRIBUIDOR INTL ALIMENTACION,18,0,156,- 512
04fb8fa7-fca9-4fc2-8c53-5f56e22a1740-20171221.xml,LCL SELECT R II,9689,0,100,- 460
