uuid,nomSociete,evaluation,capitalDetenu,nombreParts,commentaire,remuneration,clean_name
63008a23-4449-4fdb-8609-cc20028bb6e6,Alstom,4535,0,100.0,Valeur détenue dans le cadre d'un PEA en mandat de gestion. Pas de dividende versé en 2019 et 2020 (au 15/09/2020),?,ALSTOM
63008a23-4449-4fdb-8609-cc20028bb6e6,Axa,4648,0,270.0,Valeur détenue dans le cadre d'un PEA en mandat de gestion. Dividende au 08/07/2020,"197,10",AXA
63008a23-4449-4fdb-8609-cc20028bb6e6,Bouygues,3992,0,125.0,Valeur détenue dans le cadre d'un PEA en mandat de gestion. dividende au 10/09/2020,"212,50",BOUYGUES
63008a23-4449-4fdb-8609-cc20028bb6e6,Carrefour,3867,0,275.0,Valeur détenue dans le cadre d'un PEA en mandat de gestion. dividende au 26/06/2020,"63,25",CARREFOUR
63008a23-4449-4fdb-8609-cc20028bb6e6,Danone,4030,0,70.0,Valeur détenue dans le cadre d'un PEA en mandat de gestion. Dividende au 15/07/2020,147,DANONE
63008a23-4449-4fdb-8609-cc20028bb6e6,Orange,4278,0,450.0,Valeur détenue dans le cadre d'un PEA en mandat de gestion. Dividende au 03/06/2020,90,ORANGE
63008a23-4449-4fdb-8609-cc20028bb6e6,Saint-Gobain,4004,0,110.0,Valeur détenue dans le cadre d'un PEA en mandat de gestion. dividende au 11/06/2019,"146,30",SAINT GOBAIN
63008a23-4449-4fdb-8609-cc20028bb6e6,Sanofi,4880,0,55.0,Valeur détenue dans le cadre d'un PEA en mandat de gestion. Dividende au 05/05/2020,"173,25",SANOFI
aeaf556f-cbdb-47f0-bf6c-78bd7c5e9b3f,crédit agricole,13429,,49.0,correspond à l'année 2019,1462,CREDIT AGRICOLE
aeaf556f-cbdb-47f0-bf6c-78bd7c5e9b3f,crédit agricole,13429,,49.0,,1462,CREDIT AGRICOLE
b4965528-6ffa-4b19-b914-b13830136398,CREDIT AGRICOLE,14955,100,997.0,,0,CREDIT AGRICOLE
b8f4d483-931f-4e20-9de5-69ec5638ce13,AIR LIQUIDE,12430,3,95.0,Pas de dividendes dans l'année précédant la déclaration,0,AIR LIQUIDE
b8f4d483-931f-4e20-9de5-69ec5638ce13,AXA,21436,5,950.0,Pas de dividendes dans l'année précédant la déclaration,0,AXA
b8f4d483-931f-4e20-9de5-69ec5638ce13,BOUYGUES,19563,5,555.0,Pas de dividendes dans l'année précédant la déclaration,0,BOUYGUES
b8f4d483-931f-4e20-9de5-69ec5638ce13,ORANGE,15114,4,1520.0,Pas de dividendes dans l'année précédant la déclaration,0,ORANGE
b8f4d483-931f-4e20-9de5-69ec5638ce13,SAINT-GOBAIN,16968,4,350.0,Pas de dividendes dans l'année précédant la déclaration,0,SAINT GOBAIN
b8f4d483-931f-4e20-9de5-69ec5638ce13,SANOFI,15282,4,195.0,Pas de dividendes dans l'année précédant la déclaration,0,SANOFI
b8f4d483-931f-4e20-9de5-69ec5638ce13,THALES,20700,5,255.0,Pas de dividendes dans l'année précédant la déclaration,0,THALES
b8f4d483-931f-4e20-9de5-69ec5638ce13,DANONE,11412,6,200.0,Pas de dividendes dans l'année précédant la déclaration,0,DANONE
b8f4d483-931f-4e20-9de5-69ec5638ce13,DASSAULT SYSTEMES,16765,9,100.0,Pas de dividendes dans l'année précédant la déclaration,0,DASSAULT SYSTEMES
b8f4d483-931f-4e20-9de5-69ec5638ce13,ENGIE,11500,6,1000.0,Pas de dividendes dans l'année précédant la déclaration,0,ENGIE
b8f4d483-931f-4e20-9de5-69ec5638ce13,VINCI,36019,20,407.0,Pas de dividendes dans l'année précédant la déclaration,0,VINCI
bef04546-b9dd-4a1f-8a7d-8070c26e2395,BNP PARIBAS,381,,10.0,,0,BNP PARIBAS
adcb7949-df91-46f6-961a-b47560cd2329,crédit agricole,5269,,3513.0,"Parts sociales détenues en qualité de sociétaire de la banque mutualiste, affectées sur compte dédié. 
        [Données non publiées]
    ","75 euros (1,5 %)",CREDIT AGRICOLE
b796c974-12d3-4d45-bc2b-d558b6506d4e,credit agricole,1158,0,129.0,,96.8,CREDIT AGRICOLE
b796c974-12d3-4d45-bc2b-d558b6506d4e,airbus,1442,0,15.0,,0,AIRBUS
3da94faf-f551-4d8c-b23e-ccec61be172a,Michelin,3973,0,134.0,COMPTE PEA,0,MICHELIN
3da94faf-f551-4d8c-b23e-ccec61be172a,sanofi,7128,0,83.0,COMPTE PEA,0,SANOFI
3da94faf-f551-4d8c-b23e-ccec61be172a,société générale,3865,0,171.0,COMPTE PEA,0,SOCIETE GENERALE
3da94faf-f551-4d8c-b23e-ccec61be172a,AIR LIQUIDE,1191,0,7.0,COMPTE PEA,0,AIR LIQUIDE
3da94faf-f551-4d8c-b23e-ccec61be172a,AXA,4797,0,169.0,COMPTE PEA,0,AXA
3da94faf-f551-4d8c-b23e-ccec61be172a,BNP PARIBAS,8736,0,154.0,COMPTE PEA,0,BNP PARIBAS
3da94faf-f551-4d8c-b23e-ccec61be172a,DANONE,3970,0,69.0,COMPTE PEA,0,DANONE
3da94faf-f551-4d8c-b23e-ccec61be172a,DASSAULT SYSTEMES,2859,0,68.0,COMPTE PEA,0,DASSAULT SYSTEMES
3da94faf-f551-4d8c-b23e-ccec61be172a,KERING,2021,0,5.0,COMPTE PEA,0,KERING
3da94faf-f551-4d8c-b23e-ccec61be172a,PERNOD RICARD,1840,0,11.0,COMPTE PEA,0,PERNOD RICARD
3da94faf-f551-4d8c-b23e-ccec61be172a,SAFRAN,2729,0,17.0,COMPTE PEA,0,SAFRAN
3da94faf-f551-4d8c-b23e-ccec61be172a,SAINT GOBAIN,3210,0,55.0,COMPTE PEA,0,SAINT GOBAIN
3da94faf-f551-4d8c-b23e-ccec61be172a,SCHNEIDER ELECTRIC,12783,0,77.0,COMPTE PEA,0,SCHNEIDER ELECTRIC
3da94faf-f551-4d8c-b23e-ccec61be172a,THALES,2486,0,18.0,COMPTE PEA,0,THALES
3da94faf-f551-4d8c-b23e-ccec61be172a,VEOLIA,3508,0,125.0,COMPTE PEA,0,VEOLIA
3da94faf-f551-4d8c-b23e-ccec61be172a,VINCI,7328,0,67.0,COMPTE PEA,0,VINCI
3da94faf-f551-4d8c-b23e-ccec61be172a,AIRBUS,9787,0,74.0,COMPTE PEA,0,AIRBUS
3da94faf-f551-4d8c-b23e-ccec61be172a,STMICROELECTRONICS,4779,0,114.0,COMPTE PEA,0,STMICROELECTRONICS
560692ae-bb29-480e-8cdf-98fe3858d1b5,orange,0,0,11.0,,0,ORANGE
4d9f4f3e-6d0a-458c-8f72-6435214fe00b,accor,1713,,55.0,,57€ dividende annuel,ACCOR
