uuid,nomSociete,evaluation,capitalDetenu,nombreParts,commentaire,remuneration
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Valeo,6875,,213,,266
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Vallourec,240,,9,,0
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Veolia,12725,,636,,515
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Vinci,22862,,281,,747
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Worldline,6169,,78,,0
23779283-4de9-400a-9446-4dfef184a6fd,EARL BARTHES,2918,50,1975,,0
6e91493a-0dbd-433e-93a2-9bd3e5afee43,SCI [Données non publiées],15000,25,100,,0
6e91493a-0dbd-433e-93a2-9bd3e5afee43,SCI [Données non publiées],750,50,100,,0
6e91493a-0dbd-433e-93a2-9bd3e5afee43,CREDIT MUTUEL,20000,,20000,,0
e0c2f816-8cdb-4cd7-bed6-d6bffbdf79fa,HOMMES ET AMBITIONS,5000,100,100,rémunération arrêtée depuis juillet 2020,1100 euros mensuel de janvier 2020 à juillet 2020
60db0276-e4f3-4c3a-b2b5-d55f0eac8639,BNP Paribas,1671,,45,,0
60db0276-e4f3-4c3a-b2b5-d55f0eac8639,Crédit agricole,890,,100,,0
60db0276-e4f3-4c3a-b2b5-d55f0eac8639,EDF,151,,16,,0
60db0276-e4f3-4c3a-b2b5-d55f0eac8639,Société générale,293,,20,,0
d64ff2b0-01f9-461c-b87b-f98d9a8b5ee3,NAVYA,14,,480,,0 €
be981bd7-b21c-47b6-8f03-9c190c3d8da9,SCI [Données non publiées],10071,100,500,"
        [Données non publiées]
    ",0
ec934de5-47e9-4127-9749-60ceebef607d,ILOA GESTION,0,100,100,,0
a68c5033-0c68-444e-a8fa-06385106a3d9,OE HOLDING,150000,75,159583,,0
cabb15d2-de3a-4bb5-8bcf-604e521983ef,GAEC [Données non publiées],139500,37,620,"
        [Données non publiées]
    ",22597
cabb15d2-de3a-4bb5-8bcf-604e521983ef,SCI [Données non publiées],20750,50,100,"
        [Données non publiées]
    ",2168
929aa0fc-cf83-492c-8b79-36ef3fe8ebe6,SCI [Données non publiées],250,25,25,Les loyers de l'immeuble appartenant à la SCI permettent actuellement de rembourser les emprunts contractés pour l'acquisition et les différentes charges,0
6ee63a7c-92c6-4c13-b805-ec70fbaa1bda,SCI [Données non publiées],1039000,75,75,,NEANT
6ee63a7c-92c6-4c13-b805-ec70fbaa1bda,SARL VIP LOOK,0,0,99,,NEANT
6ee63a7c-92c6-4c13-b805-ec70fbaa1bda,SARL IMMOBILIRE DU NORD,0,0,50,,NEANT
6ee63a7c-92c6-4c13-b805-ec70fbaa1bda,SARL HOPE ESTATE DEVELOPMENT,230000,50,50,,NEANT
6ee63a7c-92c6-4c13-b805-ec70fbaa1bda,CARETA LIMITED,450000,100,100,,NEANT
36abd52d-d71f-4de7-bb69-71d49b44b1f6,amundi,3138,,24,,"aucune rémunération début de contrat 
        [Données non publiées]
    "
36abd52d-d71f-4de7-bb69-71d49b44b1f6,BFT,445,,6,,"début de contrat 
        [Données non publiées]
    "
36abd52d-d71f-4de7-bb69-71d49b44b1f6,CPR,645,,2,,"aucune rémunération Début de contrat 
        [Données non publiées]
    "
36abd52d-d71f-4de7-bb69-71d49b44b1f6,indosuez,239,,3,,"aucune rémunération début de contrat 
        [Données non publiées]
    "
41c52d40-d93b-4499-ad32-773c6a4d6dd6,Néant,0,,0,,0
b8030686-0dd9-438a-8829-d18c8c9b6450,SCIC [Données non publiées],5000,5,100,,Aucune
9b49f802-82af-4e08-8e63-73a4b51f00b6,SCI [Données non publiées],260000,50,1000,"
        [Données non publiées]
    ",Aucune
2dab825d-5220-4cf0-a40b-9088fe33c756,SCI [Données non publiées],10,0,1,,600
2dab825d-5220-4cf0-a40b-9088fe33c756,SCI [Données non publiées],800,0,1,,672 EUROS
2dab825d-5220-4cf0-a40b-9088fe33c756,SCI [Données non publiées],1000,0,1,,36 EUROS
2dab825d-5220-4cf0-a40b-9088fe33c756,SCI [Données non publiées],1000,0,1,,36 EUROS
2dab825d-5220-4cf0-a40b-9088fe33c756,SCI [Données non publiées],0,0,1,,0 EUROS
2dab825d-5220-4cf0-a40b-9088fe33c756,SCI [Données non publiées],0,14,1,,0 EUROS
2dab825d-5220-4cf0-a40b-9088fe33c756,SCI [Données non publiées],0,0,1,,0 EUROS
2dab825d-5220-4cf0-a40b-9088fe33c756,SCI [Données non publiées],0,0,1,,0 EUROS
864d00f6-7703-411f-a38c-b5ba16328a4f,SCI [Données non publiées],990,100,99,Monsieur Lisnard est nue propriétaire de 99 parts.,0
532273f7-896f-4e86-ac55-daec910185d6,GAEC [Données non publiées],1000,50,100,79700 euros d'apports au GAEC en nature (matériels et stocks),0
8c5a1b5c-4d7e-4d20-83bf-e56d5a290a78,SCI [Données non publiées],35000,33,25,"Société dissoute en2017, immeuble vendu. Participation financière terminée",2014 : 3462 € 2015 : 3456 € 2016 : 3454 €
8c5a1b5c-4d7e-4d20-83bf-e56d5a290a78,SARL [Données non publiées],350000,100,100,"
        [Données non publiées]
    ",AUCUNE REMUNERATION NI DISTRIBUTION de 2014 à 2020
75499192-c6ce-47a8-bdfb-2d1e2b988e80,SCI [Données non publiées],750,50,50,Il s'agit de la part des loyers perçus qui se retrouvent dans la déclaration des revenus de 2020 ( comptes établis par un comptable),4474
75499192-c6ce-47a8-bdfb-2d1e2b988e80,SCI [Données non publiées],100000,24,100,Les 100 000 e correspondent à la participation financière dans le capital de la SCI ( emprunt bancaire du 05/07/2018) Les 2525 € correspondent à la part des loyers perçus (année partielle le temps des travaux) qui se retrouvent dans la déclaration des revenus de 2020 ( comptes établis par un comptable),2525
ee78c05a-58f1-4e91-a2d3-6c9eac81ecc9,SCI [Données non publiées],142500,,50,,0
ee78c05a-58f1-4e91-a2d3-6c9eac81ecc9,SELARL Audincardio,30681,,100,,0
72cb8f0f-2ecd-41f1-a6a3-398a0de47958,GFA [Données non publiées],354000,44,44008,,8343 €
e60ed495-0aa5-4e2a-a46a-d158c1bbb145,SCI [Données non publiées],500,25,25,,0
1a9fce87-4271-4e0d-b4b0-64cf7d7446b5,SCI [Données non publiées],0,50,50,Les capitaux propres sont négatifs,0 euro
4ebbe7af-a553-47a0-934c-e4cca0d02cb0,PEA,106000,,0,,0
0b35b1e3-cf6c-4448-9a18-ea831a916c55,[Données non publiées],1200000,99,42799,,0
0b35b1e3-cf6c-4448-9a18-ea831a916c55,open de moselle,240000,4,80,,0
5c582382-e954-4a56-ac12-fc4446ca0adc,SCI [Données non publiées],100500,50,1215,,0
8d57450b-0423-49c9-b3d7-ebccc5098461,SAS Chaize Environnement,77,0,1,,Pas de rémunération
8d57450b-0423-49c9-b3d7-ebccc5098461,SAS Chaize,6,0,16,,Suite à une réduction du capital en juin 2021 il a été enregistré la somme de 304€ au titre des gains dans mon compte courant
258d9351-bfd9-40ad-9f1d-0d9420b68770,SAS BBD PRO,27500,7,350,,0
2b977f6c-349f-4056-a1e3-ff79527fca03,SCI [Données non publiées],1,1,1,,0
e26c3db5-56c9-4d07-8b05-9fd90e8da8e4,SA HLM RURALE DE L'EURE,20,0,100,Aucune rémunération ni dividende n'est versée dans le cadre de la SA HLM Rurale de l'Eure,0
c0973870-4327-4ea7-b7ba-ddca738abf3d,SCP [Données non publiées],1456110,99,3367,,BENEFICE 2019: 170318 € Dont bénéfice exonéré ZFU : 15 049 €
c0973870-4327-4ea7-b7ba-ddca738abf3d,SCP [Données non publiées],1456110,99,3367,,BENEFICE 2018 : 90 334€ PLUS VALUE NETTE A LONG TERME : 179 282 €
c0973870-4327-4ea7-b7ba-ddca738abf3d,SCP [Données non publiées],1456110,99,3367,,BENEFICE 2017 : 222 291€
c0973870-4327-4ea7-b7ba-ddca738abf3d,SCP [Données non publiées],1456110,99,3367,,BENEFICE 2016 : 175 845€
c0973870-4327-4ea7-b7ba-ddca738abf3d,SCP [Données non publiées],1456110,99,3367,,BENEFICE 2015 : 204 344€
c0973870-4327-4ea7-b7ba-ddca738abf3d,SCI [Données non publiées],57851,76,76,"NOMBRE DE PARTS : 76 -dont M.VIALATTE JEAN SEBASTIEN : 38 PARTS 
        [Données non publiées]
     Les revenus fonciers correspondent aux quote-part cumulées 
        [Données non publiées]
    ",REVENU FONCIER 2019 : 5 382 € REVENU FONCIER 2018 : 2 932 € REVENU FONCIER 2017 : 1 720 € REVENU FONCIER 2016 : 3 396 € REVENU FONCIER 2015 : 3 962 €
c0973870-4327-4ea7-b7ba-ddca738abf3d,SCI [Données non publiées],230450,76,342,"NOMBRE DE PARTS : 342 -dont M.VIALATTE JEAN SEBASTIEN : 171 PARTS
        [Données non publiées]
     Les revenus fonciers correspondent aux quote-part cumulées
        [Données non publiées]
    ",REVENU FONCIER 2019 : 17 034 € REVENU FONCIER 2018 : 17 016 € REVENU FONCIER 2017 : 17 034 € REVENU FONCIER 2016 : 17 026 € REVENU FONCIER 2015 : 17 076 €
